id,symbol,state_id
608,BANDHANBNK,1000
609,BANG,1000
610,BANKA,1000
612,BANSWRAS,1000
613,BARTRONICS,1000
614,BASF,1000
615,BASML,1000
616,BAYERCROP,1000
617,BBL,1000
618,BBTC,1000
619,BCG,1000
620,BCONCEPTS,1000
621,BDL,1000
622,BEARDSELL,1000
623,BEPL,1000
624,BETA,1000
625,BFINVEST,1000
626,BFUTILITIE,1000
627,BGRENERGY,1000
628,BHAGERIA,1000
629,BHAGYAPROP,1000
630,BHALCHANDR,1000
631,BHANDARI,1000
632,BHARATGEAR,1000
633,BHARATWIRE,1000
634,BIL,1000
635,BINANIIND,1000
636,BINDALAGRO,1000
637,BIRLACORPN,1000
638,BLISSGVS,1000
639,BLKASHYAP,1000
640,BLS,1000
641,BLUEDART,1000
642,BLUESTARCO,1000
643,BODALCHEM,1000
644,BOROSIL,1000
645,BPL,1000
646,BRIGADE,1000
647,BRIGHT,1000
648,BRNL,1000
649,BROOKS,1000
650,BSE,1000
651,BSELINFRA,1000
652,BSHSL,1000
653,BSL,1000
656,BYKE,1000
657,CAMLINFINE,1000
658,CANTABIL,1000
659,CAPACITE,1000
660,CAPLIPOINT,1000
661,CAPTRUST,1000
662,CARBORUNIV,1000
663,CAREERP,1000
664,CARERATING,1000
665,CCCL,1000
666,CCHHL,1000
667,CCL,1000
668,CDSL,1000
669,CEBBCO,1000
670,CELEBRITY,1000
671,CENTENKA,1000
672,CENTEXT,1000
673,CENTRUM,1000
674,CENTUM,1000
675,CENTURYPLY,1000
676,CERA,1000
677,CGCL,1000
678,CHAMBLFERT,1000
679,CHEMFAB,1000
680,CIMMCO,1000
681,CINELINE,1000
682,CLEDUCATE,1000
683,CLNINDIA,1000
684,CMICABLES,1000
685,COCHINSHIP,1000
686,COFFEEDAY,1000
687,COMPINFO,1000
688,COMPUSOFT,1000
689,CONSOFINVT,1000
690,CONTROLPR,1000
691,CORALFINAC,1000
692,CORDSCABLE,1000
693,COROMANDEL,1000
694,CORPBANK,1000
695,COSMOFILMS,1000
696,COX&KINGS,1000
698,CREDITACC,1000
699,CREST,1000
700,CRISIL,1000
702,CROMPTON,1000
703,CUB,1000
704,CUPID,1000
705,CYBERTECH,1000
706,CYIENT,1000
707,DAAWAT,1000
708,DALMIASUG,1000
709,DAMODARIND,1000
710,DATAMATICS,1000
711,DBCORP,1000
712,DBL,1000
713,DBREALTY,1000
714,DCAL,1000
715,DCM,1000
716,DCMSHRIRAM,1000
717,DCW,1000
718,DECCANCE,1000
719,DEEPAKFERT,1000
720,DEEPAKNTR,1000
721,DEEPIND,1000
722,DELTACORP,1000
723,DEN,1000
724,DENABANK,1000
725,DEVIT,1000
726,DFMFOODS,1000
727,DHAMPURSUG,1000
728,DHANBANK,1000
729,DHANUKA,1000
730,DHUNINV,1000
731,DIAMONDYD,1000
732,DICIND,1000
733,DIGJAMLTD,1000
734,DIXON,1000
735,DLINKINDIA,1000
736,DMART,1000
737,DOLLAR,1000
738,DOLPHINOFF,1000
739,DONEAR,1000
740,DPABHUSHAN,1000
741,DPL,1000
742,DPSCLTD,1000
743,DPWIRES,1000
744,DQE,1000
745,DSSL,1000
746,DTIL,1000
747,DUCON,1000
748,DWARKESH,1000
749,DYNAMATECH,1000
750,DYNPRO,1000
751,E2E,1000
752,EASTSILK,1000
754,ECLERX,1000
755,EIDPARRY,1000
756,EIFFL,1000
757,EIHAHOTELS,1000
758,EIHOTEL,1000
759,EIMCOELECO,1000
760,EKC,1000
761,ELECON,1000
762,ELECTCAST,1000
763,ELECTCAST,1000
764,ELECTHERM,1000
765,ELGIEQUIP,1000
766,ELGIRUBCO,1000
767,EMAMILTD,1000
768,EMKAY,1000
769,EMMBI,1000
770,ENDURANCE,1000
771,ENERGYDEV,1000
772,ENIL,1000
773,EON,1000
775,ERIS,1000
776,EROSMEDIA,1000
777,ESABINDIA,1000
778,ESSARSHPNG,1000
779,ESSELPACK,1000
780,ESTER,1000
781,EUROTEXIND,1000
